x,y
0,1.789011
1,1.817216
2,1.951795
3,1.739854
4,2.068645
5,1.675385
6,2.110549
7,1.707619
8,2.009817
9,1.795458
10,1.852674
11,1.892967
12,1.772894
13,2.03641
14,1.701172
15,2.124249
16,1.673773
17,2.046886
18,1.755971
19,1.920366
20,1.807546
21,1.829304
22,1.990476
23,1.724542
24,2.101685
25,1.660879
26,2.100073
27,1.717289
28,1.976777
29,1.791429
30,1.843004
31,1.925202
32,1.757583
33,2.045275
34,1.686667
35,2.114579
36,1.693114
37,2.019487
38,1.766447
39,1.87685
40,1.875238
41,1.784176
42,2.021099
43,1.716484
44,2.113773
45,1.679414
46,2.068645
47,1.737436
48,1.926813
49,1.804322
50,1.805934
51,1.981612
52,1.732601
53,2.075897
54,1.683443
55,2.109744
56,1.709231
57,1.979194
58,1.774506
59,1.850256
60,1.902637
61,1.762418
62,2.050916
63,1.701172
64,2.147619
65,1.68022
66,2.03641
67,1.755165
68,1.893773
69,1.844615
70,1.793846
71,2.009011
72,1.72696
73,2.122638
74,1.673773
75,2.068645
76,1.721319
77,1.959048
78,1.79707
79,1.822051
80,1.959854
81,1.739854
82,2.058975
83,1.677802
84,2.114579
85,1.702784
86,2.006593
87,1.791429
88,1.856703
89,1.895385
90,1.754359
91,2.062198
92,1.700366
93,2.114579
94,1.679414
95,2.042051
96,1.759194
97,1.914725
98,1.813187
99,1.814799
100,1.995311
101,1.718901
102,2.094432
103,1.675385
104,2.087986
105,1.716484
106,1.964689
107,1.784982
108,1.834139
109,1.920366
110,1.755165
111,2.033187
112,1.694725
113,2.112161
114,1.701172
115,2.034799
116,1.765641
117,1.874432
118,1.865568
119,1.811575
120,1.979194
121,1.7463
122,2.087986
123,1.693114
124,2.060586
125,1.752747
126,1.935678
127,1.792235
128,1.838169
129,1.950183
130,1.76
131,2.028352
132,1.721319
133,2.087986
134,1.730183
135,1.973553
136,1.777729
137,1.866374
138,1.888132
139,1.780952
140,2.005788
141,1.73663
142,2.099267
143,1.743077
144,2.019487
145,1.763224
146,1.881685
147,1.809158
148,1.826081
149,1.985641
150,1.743883
151,2.078315
152,1.712454
153,2.050916
154,1.738242
155,1.950989
156,1.789011
157,1.83011
158,1.929231
159,1.775311
160,2.030769
161,1.714066
162,2.075897
163,1.720513
164,1.988059
165,1.793846
166,1.868791
167,1.879267
168,1.778535
169,2.008205
170,1.72696
171,2.087986
172,1.715678
173,2.03641
174,1.756777
175,1.913114
176,1.79707
177,1.81641
178,1.975165
179,1.751136
180,2.08718
181,1.701978
182,2.05978
183,1.730183
184,1.955824
185,1.786593
186,1.851062
187,1.907473
188,1.767253
189,2.021905
190,1.720513
191,2.077509
192,1.71326
193,2.008205
194,1.777729
195,1.87685
196,1.843004
197,1.810769
198,1.992088
199,1.743883
200,2.078315
201,1.710843
202,2.053334
203,1.755971
204,1.917143
205,1.813993
206,1.822857
207,1.959048
208,1.743077
209,2.07348
210,1.688278
211,2.107326
212,1.714872
213,1.987253
214,1.790623
215,1.847839
216,1.90989
217,1.757583
218,2.048498
219,1.696337
220,2.129084
221,1.686667
222,2.03641
223,1.759194
224,1.896191
225,1.827692
226,1.801099
227,2.009817
228,1.723736
229,2.111355
230,1.681832
231,2.072674
232,1.717289
233,1.962271
234,1.781758
235,1.823663
236,1.961465
237,1.75033
238,2.062198
239,1.70359
240,2.109744
241,1.694725
242,2.005788
243,1.801099
244,1.864762
245,1.888132
246,1.776923
247,2.04044
248,1.687473
249,2.117802
250,1.679414
251,2.047692
252,1.751136
253,1.912308
254,1.814799
255,1.807546
256,1.996923
257,1.719707
258,2.087986
259,1.675385
260,2.101685
261,1.711648
262,1.973553
263,1.778535
264,1.838169
265,1.927619
266,1.745495
267,2.054945
268,1.697949
269,2.12989
270,1.718901
271,2.020293
272,1.763224
273,1.875238
274,1.876044
275,1.788205
276,2.007399
277,1.70359
278,2.110549
279,1.683443
280,2.068645
281,1.732601
282,1.938901
283,1.804322
284,1.809158
285,1.963883
286,1.743077
287,2.061392
288,1.684249
289,2.118608
290,1.712454
291,1.9937
292,1.787399
293,1.849451
294,1.908278
295,1.779341
296,2.000147
297,1.722125
298,2.107326
299,1.708425
300,2.023517
301,1.810769
302,1.901026
303,1.809158
304,1.785788
305,1.981612
306,1.694725
307,2.075092
308,1.639927
309,2.183883
310,1.787399
311,2.01707
312,1.851868
313,1.866374
314,1.983224
315,1.747912
316,2.081538
317,1.674579
318,2.118608
319,1.696337
320,2.010623
321,1.800293
322,1.854286
323,1.884909
324,1.764029
325,2.075897
326,1.691502
327,2.132308
328,1.668938
329,2.08315
330,1.744689
331,1.926007
332,1.809963
333,1.805128
