x,y
0,1.560952425
1,1.5488644838
2,1.5835164785
3,1.6915018559
4,1.5399999619
5,2.2701098919
6,1.3417582512
7,1.7986812592
8,1.7108424902
9,1.942124486
10,2.1363370419
11,1.6479853392
12,1.489230752
13,1.4997069836
14,1.5126007795
15,1.5013186932
16,1.5335531235
17,1.5206593275
18,1.5593407154
19,1.5819047689
20,1.6367032528
21,1.5915751457
22,1.6068865061
23,0.8663003445
24,1.7334065437
25,1.8139926195
26,1.921172142
27,2.1315019131
28,1.8945786953
29,1.4779486656
30,1.4997069836
31,1.5238827467
32,1.5279121399
33,1.5335531235
34,1.5367765427
35,1.5528937578
36,1.5819047689
37,1.6439560652
38,1.6334798336
39,1.5738461018
40,1.9848351479
41,1.6898901463
42,1.8010989428
43,1.8784614801
44,2.0428571701
45,2.0356044769
46,1.5794872046
47,1.4964835644
48,1.5206593275
49,1.5351648331
50,1.5174359083
51,1.5399999619
52,1.5504761934
53,1.5714285374
54,1.7011721134
55,1.5335531235
56,1.9598535299
57,1.0081318617
58,1.7430769205
59,1.8107692003
60,1.9397069216
61,2.098461628
62,1.7374359369
63,1.4626373053
64,1.5045421124
65,1.5335531235
66,1.5254944563
67,1.5343589783
68,1.5625641346
69,1.5722343922
70,1.6270329952
71,1.6125274897
72,1.5714285374
73,1.552087903
74,1.6882784367
75,1.8043223619
76,1.8728204966
77,2.0831501484
78,2.0299632549
79,1.5528937578
80,1.4843956232
81,1.5359706879
82,1.5206593275
83,1.5222710371
84,1.5271062851
85,1.5496703386
86,1.5593407154
87,1.5931868553
88,1.7326006889
89,1.5335531235
90,2.1266667843
91,1.0564835072
92,1.7769230604
93,1.8478388786
94,1.988058567
95,2.1258606911
96,1.7575824261
97,1.4706959724
98,1.5005128384
99,1.5335531235
100,1.5174359083
101,1.5271062851
102,1.5488644838
103,1.5593407154
104,1.5819047689
105,1.6592674255
106,1.6020512581
107,1.6181684732
108,0.8953113556
109,1.7301831245
110,1.800293088
111,1.9010256529
112,2.1049084663
113,1.8776556253
114,1.498095274
115,1.5142124891
116,1.544029355
117,1.5335531235
118,1.5303297043
119,1.5327472687
120,1.5593407154
121,1.569010973
122,1.7003662586
123,1.5351648331
124,2.2588279247
125,1.3208059072
126,1.782564044
127,1.8478388786
128,1.9945055246
129,2.1234431267
130,1.694725275
131,1.4876190424
132,1.5351648331
133,1.5359706879
134,1.5271062851
135,1.5311355591
136,1.5464469194
137,1.5706226826
138,1.5810989141
139,1.7092307806
140,1.5238827467
141,1.9832234383
142,0.9380219579
143,1.7422710657
144,1.8333333731
145,1.9654945135
146,2.1258606911
147,1.7599999905
148,1.4618314505
149,1.5045421124
150,1.5166300535
151,1.5190476179
152,1.5246886015
153,1.5464469194
154,1.552087903
155,1.5786813498
156,1.5980219841
157,1.6898901463
158,1.5528937578
159,2.3805127144
160,1.5553113222
161,1.791428566
162,1.8792674541
163,2.0323810577
164,2.1073260307
165,1.6624908447
166,1.4739193916
167,1.5158241987
168,1.5295238495
169,1.5271062851
170,1.5206593275
171,1.5504761934
172,1.5585347414
173,1.5883516073
174,1.7301831245
175,1.5311355591
176,2.0460805893
177,1.0548717976
178,1.7535531521
179,1.8139926195
180,1.9606593847
181,2.088791132
182,1.7446886301
183,1.481172204
184,1.5142124891
185,1.5472527742
186,1.5109890699
187,1.5343589783
188,1.5399999619
189,1.5528937578
190,1.5722343922
191,1.6826373339
192,1.5601465702
193,2.3120145798
194,1.5093772411
195,1.7591941357
196,1.8446153402
197,2.0025641918
198,2.1073260307
199,1.6431502104
200,1.4658608437
201,1.5166300535
202,1.5383882523
203,1.5271062851
204,1.5416116714
205,1.5617582798
206,1.5907691717
207,1.6753846407
208,1.5786813498
209,1.6673259735
210,0.8050549626
211,1.7567765713
212,1.8325275183
213,1.9461538792
214,2.1460072994
215,1.875238061
216,1.4771428108
217,1.4948717356
218,1.5335531235
219,1.5045421124
220,1.5190476179
221,1.5319414139
222,1.5625641346
223,1.5754579306
224,1.5891574621
225,1.6915018559
226,1.5625641346
227,1.7140659094
228,0.8106959462
229,1.7124541998
230,1.7761172056
231,1.8913552761
232,2.0920145512
233,1.8397802114
234,1.4465200901
235,1.4924541712
236,1.5158241987
237,1.5045421124
238,1.5238827467
239,1.5254944563
240,1.5641758442
241,1.5883516073
242,1.6036629677
243,1.7390476465
244,1.5496703386
245,2.0202929974
246,1.0282783508
247,1.7753113508
248,1.8268864155
249,1.9526007175
250,2.1065201759
251,1.7857875824
252,1.481172204
253,1.5238827467
254,1.5399999619
255,1.5279121399
256,1.5214651823
257,1.5295238495
258,1.5706226826
259,1.5786813498
260,1.5851281881
261,1.7221245766
262,1.5271062851
263,1.9550182819
264,0.9017582536
265,1.7696703672
266,1.8325275183
267,1.9703296423
268,2.151648283
269,1.7906227112
270,1.4666666985
271,1.5053479671
272,1.5206593275
273,1.5214651823
274,1.5335531235
275,1.5287179947
276,1.5698168278
277,1.5770696402
278,1.5907691717
279,1.6786080599
280,1.6133333445
281,1.5835164785
282,0.891282022
283,1.7358242273
