x,y
0,3.250037
1,3.248425
2,3.245202
3,3.247619
4,3.248425
5,3.246813
6,3.248425
7,3.246007
8,3.249231
9,3.246813
10,3.247619
11,3.249231
12,3.246813
13,3.248425
14,3.247619
15,3.245202
16,3.247619
17,3.246007
18,3.246813
19,3.247619
20,3.248425
21,3.245202
22,3.248425
23,3.247619
24,3.248425
25,3.246007
26,3.247619
27,3.246813
28,3.247619
29,3.248425
30,3.250037
31,3.248425
32,3.245202
33,3.246007
34,3.250037
35,3.245202
36,3.246813
37,3.247619
38,3.249231
39,3.246007
40,3.246813
41,3.248425
42,3.246007
43,3.247619
44,3.246813
45,3.248425
46,3.246813
47,3.245202
48,3.248425
49,3.250037
50,3.248425
51,3.246813
52,3.248425
53,3.246813
54,3.248425
55,3.246813
56,3.247619
57,3.248425
58,3.246813
59,3.247619
60,3.246813
61,3.247619
62,3.246813
63,3.248425
64,3.246813
65,3.247619
66,3.246007
67,3.245202
68,3.247619
69,3.250037
70,3.248425
71,3.245202
72,3.246007
73,3.246813
74,3.248425
75,3.246007
76,3.246813
77,3.247619
78,3.248425
79,3.249231
80,3.248425
81,3.245202
82,3.247619
83,3.246007
84,3.247619
85,3.246813
86,3.245202
87,3.246007
88,3.245202
89,3.248425
90,3.249231
91,3.246813
92,3.248425
93,3.247619
94,3.249231
95,3.248425
96,3.246007
97,3.248425
98,3.247619
99,3.245202
100,3.246813
101,3.245202
102,3.248425
103,3.247619
104,3.249231
105,3.248425
106,3.247619
107,3.246007
108,3.248425
109,3.24359
110,3.248425
111,3.246007
112,3.249231
113,3.248425
114,3.246007
115,3.245202
116,3.248425
117,3.246007
118,3.245202
119,3.248425
120,3.246813
121,3.249231
122,3.248425
123,3.245202
124,3.246007
125,3.249231
126,3.247619
127,3.246813
128,3.248425
129,3.245202
130,3.248425
131,3.246813
132,3.246007
133,3.248425
134,3.247619
135,3.246813
136,3.248425
137,3.245202
138,3.246813
139,3.248425
140,3.246007
141,3.246813
